|intrinsics|ASM|XED_iform|ISA|CPUID|form|ret|op
58|_mm256_permutevar_pd|VPERMILPD|VPERMILPD_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256d|__m256d,__m256i,
59|_mm_permutevar_pd|VPERMILPD|VPERMILPD_XMMdq_XMMdq_XMMdq|AVX|['AVX']|xmm, xmm, xmm|__m128d|__m128d,__m128i,
60|_mm256_permute_pd|VPERMILPD|VPERMILPD_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, imm8|__m256d|__m256d,int,
61|_mm_permute_pd|VPERMILPD|VPERMILPD_XMMdq_XMMdq_IMMb|AVX|['AVX']|xmm, xmm, imm8|__m128d|__m128d,int,
62|_mm256_permute2f128_ps|VPERM2F128|VPERM2F128_YMMqq_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, ymm, imm8|__m256|__m256,__m256,int,
63|_mm256_permute2f128_pd|VPERM2F128|VPERM2F128_YMMqq_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, ymm, imm8|__m256d|__m256d,__m256d,int,
64|_mm256_permute2f128_si256|VPERM2F128|VPERM2F128_YMMqq_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, ymm, imm8|__m256i|__m256i,__m256i,int,
65|_mm256_broadcast_ss|VBROADCASTSS|VBROADCASTSS_YMMqq_MEMd|AVX|['AVX']|ymm, m32|__m256|float const *,
66|_mm_broadcast_ss|VBROADCASTSS|VBROADCASTSS_XMMdq_MEMd|AVX|['AVX']|xmm, m32|__m128|float const *,
67|_mm256_broadcast_sd|VBROADCASTSD|VBROADCASTSD_YMMqq_MEMq|AVX|['AVX']|ymm, m64|__m256d|double const *,
68|_mm256_broadcast_ps|VBROADCASTF128|VBROADCASTF128_YMMqq_MEMdq|AVX|['AVX']|ymm, m128|__m256|__m128 const *,
69|_mm256_broadcast_pd|VBROADCASTF128|VBROADCASTF128_YMMqq_MEMdq|AVX|['AVX']|ymm, m128|__m256d|__m128d const *,
70|_mm256_insertf128_ps|VINSERTF128|VINSERTF128_YMMqq_YMMqq_XMMdq_IMMb|AVX|['AVX']|ymm, ymm, xmm, imm8|__m256|__m256,__m128,int,
71|_mm256_insertf128_pd|VINSERTF128|VINSERTF128_YMMqq_YMMqq_XMMdq_IMMb|AVX|['AVX']|ymm, ymm, xmm, imm8|__m256d|__m256d,__m128d,int,
72|_mm256_insertf128_si256|VINSERTF128|VINSERTF128_YMMqq_YMMqq_XMMdq_IMMb|AVX|['AVX']|ymm, ymm, xmm, imm8|__m256i|__m256i,__m128i,int,
73|_mm256_insert_epi8|seq|seq|AVX|['AVX']||__m256i|__m256i,__int8,const int,
74|_mm256_insert_epi16|seq|seq|AVX|['AVX']||__m256i|__m256i,__int16,const int,
75|_mm256_insert_epi32|seq|seq|AVX|['AVX']||__m256i|__m256i,__int32,const int,
76|_mm256_insert_epi64|seq|seq|AVX|['AVX']||__m256i|__m256i,__int64,const int,
77|_mm256_load_pd|VMOVAPD|VMOVAPD_YMMqq_MEMqq|AVX|['AVX']|ymm, m256|__m256d|double const *,
78|_mm256_store_pd|VMOVAPD|VMOVAPD_MEMqq_YMMqq|AVX|['AVX']|m256, ymm|void|double *,__m256d,
79|_mm256_load_ps|VMOVAPS|VMOVAPS_YMMqq_MEMqq|AVX|['AVX']|ymm, m256|__m256|float const *,
80|_mm256_store_ps|VMOVAPS|VMOVAPS_MEMqq_YMMqq|AVX|['AVX']|m256, ymm|void|float *,__m256,
81|_mm256_loadu_pd|VMOVUPD|VMOVUPD_YMMqq_MEMqq|AVX|['AVX']|ymm, m256|__m256d|double const *,
82|_mm256_storeu_pd|VMOVUPD|VMOVUPD_MEMqq_YMMqq|AVX|['AVX']|m256, ymm|void|double *,__m256d,
83|_mm256_loadu_ps|VMOVUPS|VMOVUPS_YMMqq_MEMqq|AVX|['AVX']|ymm, m256|__m256|float const *,
84|_mm256_storeu_ps|VMOVUPS|VMOVUPS_MEMqq_YMMqq|AVX|['AVX']|m256, ymm|void|float *,__m256,
85|_mm256_load_si256|VMOVDQA|VMOVDQA_YMMqq_MEMqq|AVX|['AVX']|ymm, m256|__m256i|__m256i const *,
86|_mm256_store_si256|VMOVDQA|VMOVDQA_MEMqq_YMMqq|AVX|['AVX']|m256, ymm|void|__m256i *,__m256i,
87|_mm256_loadu_si256|VMOVDQU|VMOVDQU_YMMqq_MEMqq|AVX|['AVX']|ymm, m256|__m256i|__m256i const *,
88|_mm256_storeu_si256|VMOVDQU|VMOVDQU_MEMqq_YMMqq|AVX|['AVX']|m256, ymm|void|__m256i *,__m256i,
89|_mm256_maskload_pd|VMASKMOVPD|VMASKMOVPD_YMMqq_YMMqq_MEMqq|AVX|['AVX']|ymm, ymm, m256|__m256d|double const *,__m256i,
90|_mm256_maskstore_pd|VMASKMOVPD|VMASKMOVPD_MEMqq_YMMqq_YMMqq|AVX|['AVX']|m256, ymm, ymm|void|double *,__m256i,__m256d,
91|_mm_maskload_pd|VMASKMOVPD|VMASKMOVPD_XMMdq_XMMdq_MEMdq|AVX|['AVX']|xmm, xmm, m128|__m128d|double const *,__m128i,
92|_mm_maskstore_pd|VMASKMOVPD|VMASKMOVPD_MEMdq_XMMdq_XMMdq|AVX|['AVX']|m128, xmm, xmm|void|double *,__m128i,__m128d,
93|_mm256_maskload_ps|VMASKMOVPS|VMASKMOVPS_YMMqq_YMMqq_MEMqq|AVX|['AVX']|ymm, ymm, m256|__m256|float const *,__m256i,
94|_mm256_maskstore_ps|VMASKMOVPS|VMASKMOVPS_MEMqq_YMMqq_YMMqq|AVX|['AVX']|m256, ymm, ymm|void|float *,__m256i,__m256,
95|_mm_maskload_ps|VMASKMOVPS|VMASKMOVPS_XMMdq_XMMdq_MEMdq|AVX|['AVX']|xmm, xmm, m128|__m128|float const *,__m128i,
96|_mm_maskstore_ps|VMASKMOVPS|VMASKMOVPS_MEMdq_XMMdq_XMMdq|AVX|['AVX']|m128, xmm, xmm|void|float *,__m128i,__m128,
97|_mm256_movehdup_ps|VMOVSHDUP|VMOVSHDUP_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|__m256|__m256,
98|_mm256_moveldup_ps|VMOVSLDUP|VMOVSLDUP_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|__m256|__m256,
99|_mm256_movedup_pd|VMOVDDUP|VMOVDDUP_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|__m256d|__m256d,
100|_mm256_lddqu_si256|VLDDQU|VLDDQU_YMMqq_MEMqq|AVX|['AVX']|ymm, m256|__m256i|__m256i const *,
101|_mm256_stream_si256|VMOVNTDQ|VMOVNTDQ_MEMqq_YMMqq|AVX|['AVX']|m256, ymm|void|__m256i *,__m256i,
102|_mm256_stream_pd|VMOVNTPD|VMOVNTPD_MEMqq_YMMqq|AVX|['AVX']|m256, ymm|void|double *,__m256d,
103|_mm256_stream_ps|VMOVNTPS|VMOVNTPS_MEMqq_YMMqq|AVX|['AVX']|m256, ymm|void|float *,__m256,
104|_mm256_rcp_ps|VRCPPS|VRCPPS_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|__m256|__m256,
105|_mm256_rsqrt_ps|VRSQRTPS|VRSQRTPS_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|__m256|__m256,
106|_mm256_sqrt_pd|VSQRTPD|VSQRTPD_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|__m256d|__m256d,
107|_mm256_sqrt_ps|VSQRTPS|VSQRTPS_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|__m256|__m256,
108|_mm256_round_pd|VROUNDPD|VROUNDPD_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, imm8|__m256d|__m256d,int,
109|_mm256_round_ps|VROUNDPS|VROUNDPS_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, imm8|__m256|__m256,int,
110|_mm256_unpackhi_pd|VUNPCKHPD|VUNPCKHPD_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256d|__m256d,__m256d,
111|_mm256_unpackhi_ps|VUNPCKHPS|VUNPCKHPS_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256|__m256,__m256,
112|_mm256_unpacklo_pd|VUNPCKLPD|VUNPCKLPD_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256d|__m256d,__m256d,
113|_mm256_unpacklo_ps|VUNPCKLPS|VUNPCKLPS_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256|__m256,__m256,
114|_mm256_testz_si256|VPTEST|VPTEST_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|int|__m256i,__m256i,
115|_mm256_testc_si256|VPTEST|VPTEST_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|int|__m256i,__m256i,
116|_mm256_testnzc_si256|VPTEST|VPTEST_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|int|__m256i,__m256i,
117|_mm256_testz_pd|VTESTPD|VTESTPD_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|int|__m256d,__m256d,
118|_mm256_testc_pd|VTESTPD|VTESTPD_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|int|__m256d,__m256d,
119|_mm256_testnzc_pd|VTESTPD|VTESTPD_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|int|__m256d,__m256d,
120|_mm_testz_pd|VTESTPD|VTESTPD_XMMdq_XMMdq|AVX|['AVX']|xmm, xmm|int|__m128d,__m128d,
121|_mm_testc_pd|VTESTPD|VTESTPD_XMMdq_XMMdq|AVX|['AVX']|xmm, xmm|int|__m128d,__m128d,
122|_mm_testnzc_pd|VTESTPD|VTESTPD_XMMdq_XMMdq|AVX|['AVX']|xmm, xmm|int|__m128d,__m128d,
123|_mm256_testz_ps|VTESTPS|VTESTPS_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|int|__m256,__m256,
124|_mm256_testc_ps|VTESTPS|VTESTPS_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|int|__m256,__m256,
125|_mm256_testnzc_ps|VTESTPS|VTESTPS_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|int|__m256,__m256,
126|_mm_testz_ps|VTESTPS|VTESTPS_XMMdq_XMMdq|AVX|['AVX']|xmm, xmm|int|__m128,__m128,
127|_mm_testc_ps|VTESTPS|VTESTPS_XMMdq_XMMdq|AVX|['AVX']|xmm, xmm|int|__m128,__m128,
128|_mm_testnzc_ps|VTESTPS|VTESTPS_XMMdq_XMMdq|AVX|['AVX']|xmm, xmm|int|__m128,__m128,
129|_mm256_movemask_pd|VMOVMSKPD|VMOVMSKPD_GPR32d_YMMqq|AVX|['AVX']|r32, ymm|int|__m256d,
130|_mm256_movemask_ps|VMOVMSKPS|VMOVMSKPS_GPR32d_YMMqq|AVX|['AVX']|r32, ymm|int|__m256,
131|_mm256_setzero_pd|VXORPD|VXORPD_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256d|void,
132|_mm256_setzero_ps|VXORPS|VXORPS_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256|void,
133|_mm256_setzero_si256|VPXOR|VPXOR_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256i|void,
134|_mm256_set_pd|seq|seq|AVX|['AVX']||__m256d|double,double,double,double,
135|_mm256_set_ps|seq|seq|AVX|['AVX']||__m256|float,float,float,float,float,float,float,float,
136|_mm256_set_epi8|seq|seq|AVX|['AVX']||__m256i|char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,
137|_mm256_set_epi16|seq|seq|AVX|['AVX']||__m256i|short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,
138|_mm256_set_epi32|seq|seq|AVX|['AVX']||__m256i|int,int,int,int,int,int,int,int,
139|_mm256_set_epi64x|seq|seq|AVX|['AVX']||__m256i|__int64,__int64,__int64,__int64,
140|_mm256_setr_pd|seq|seq|AVX|['AVX']||__m256d|double,double,double,double,
141|_mm256_setr_ps|seq|seq|AVX|['AVX']||__m256|float,float,float,float,float,float,float,float,
142|_mm256_setr_epi8|seq|seq|AVX|['AVX']||__m256i|char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,char,
143|_mm256_setr_epi16|seq|seq|AVX|['AVX']||__m256i|short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,
144|_mm256_setr_epi32|seq|seq|AVX|['AVX']||__m256i|int,int,int,int,int,int,int,int,
145|_mm256_setr_epi64x|seq|seq|AVX|['AVX']||__m256i|__int64,__int64,__int64,__int64,
146|_mm256_set1_pd|seq|seq|AVX|['AVX']||__m256d|double,
147|_mm256_set1_ps|seq|seq|AVX|['AVX']||__m256|float,
148|_mm256_set1_epi8|seq|seq|AVX|['AVX']||__m256i|char,
149|_mm256_set1_epi16|seq|seq|AVX|['AVX']||__m256i|short,
150|_mm256_set1_epi32|seq|seq|AVX|['AVX']||__m256i|int,
151|_mm256_set1_epi64x|seq|seq|AVX|['AVX']||__m256i|long long,
152|_mm256_castpd_ps|none|none|AVX|['AVX']||__m256|__m256d,
153|_mm256_castps_pd|none|none|AVX|['AVX']||__m256d|__m256,
154|_mm256_castps_si256|none|none|AVX|['AVX']||__m256i|__m256,
155|_mm256_castpd_si256|none|none|AVX|['AVX']||__m256i|__m256d,
156|_mm256_castsi256_ps|none|none|AVX|['AVX']||__m256|__m256i,
157|_mm256_castsi256_pd|none|none|AVX|['AVX']||__m256d|__m256i,
158|_mm256_castps256_ps128|none|none|AVX|['AVX']||__m128|__m256,
159|_mm256_castpd256_pd128|none|none|AVX|['AVX']||__m128d|__m256d,
160|_mm256_castsi256_si128|none|none|AVX|['AVX']||__m128i|__m256i,
161|_mm256_castps128_ps256|none|none|AVX|['AVX']||__m256|__m128,
162|_mm256_castpd128_pd256|none|none|AVX|['AVX']||__m256d|__m128d,
163|_mm256_castsi128_si256|none|none|AVX|['AVX']||__m256i|__m128i,
164|_mm256_zextps128_ps256|none|none|AVX|['AVX']||__m256|__m128,
165|_mm256_zextpd128_pd256|none|none|AVX|['AVX']||__m256d|__m128d,
166|_mm256_zextsi128_si256|none|none|AVX|['AVX']||__m256i|__m128i,
167|_mm256_floor_ps|VROUNDPS|VROUNDPS_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, imm8|__m256|__m256,
168|_mm256_ceil_ps|VROUNDPS|VROUNDPS_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, imm8|__m256|__m256,
169|_mm256_floor_pd|VROUNDPD|VROUNDPD_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, imm8|__m256d|__m256d,
170|_mm256_ceil_pd|VROUNDPD|VROUNDPD_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, imm8|__m256d|__m256d,
171|_mm256_undefined_ps|||AVX|['AVX']||__m256|void,
172|_mm256_undefined_pd|||AVX|['AVX']||__m256d|void,
173|_mm256_undefined_si256|||AVX|['AVX']||__m256i|void,
174|_mm256_set_m128|VINSERTF128|VINSERTF128_YMMqq_YMMqq_XMMdq_IMMb|AVX|['AVX']|ymm, ymm, xmm, imm8|__m256|__m128,__m128,
175|_mm256_set_m128d|VINSERTF128|VINSERTF128_YMMqq_YMMqq_XMMdq_IMMb|AVX|['AVX']|ymm, ymm, xmm, imm8|__m256d|__m128d,__m128d,
176|_mm256_set_m128i|VINSERTF128|VINSERTF128_YMMqq_YMMqq_XMMdq_IMMb|AVX|['AVX']|ymm, ymm, xmm, imm8|__m256i|__m128i,__m128i,
177|_mm256_setr_m128|VINSERTF128|VINSERTF128_YMMqq_YMMqq_XMMdq_IMMb|AVX|['AVX']|ymm, ymm, xmm, imm8|__m256|__m128,__m128,
178|_mm256_setr_m128d|VINSERTF128|VINSERTF128_YMMqq_YMMqq_XMMdq_IMMb|AVX|['AVX']|ymm, ymm, xmm, imm8|__m256d|__m128d,__m128d,
179|_mm256_setr_m128i|VINSERTF128|VINSERTF128_YMMqq_YMMqq_XMMdq_IMMb|AVX|['AVX']|ymm, ymm, xmm, imm8|__m256i|__m128i,__m128i,
180|_mm256_loadu2_m128|seq|seq|AVX|['AVX']||__m256|float const*,float const*,
181|_mm256_loadu2_m128d|seq|seq|AVX|['AVX']||__m256d|double const*,double const*,
182|_mm256_loadu2_m128i|seq|seq|AVX|['AVX']||__m256i|__m128i const*,__m128i const*,
183|_mm256_storeu2_m128|seq|seq|AVX|['AVX']||void|float*,float*,__m256,
184|_mm256_storeu2_m128d|seq|seq|AVX|['AVX']||void|double*,double*,__m256d,
185|_mm256_storeu2_m128i|seq|seq|AVX|['AVX']||void|__m128i*,__m128i*,__m256i,
186|_mm256_cvtss_f32|VMOVSS|VMOVSS_MEMd_XMMd|AVX|['AVX']|m32, xmm|float|__m256,
187|_mm256_cvtsd_f64|VMOVSD|VMOVSD_MEMq_XMMq|AVX|['AVX']|m64, xmm|double|__m256d,
188|_mm256_cvtsi256_si32|VMOVD|VMOVD_GPR32d_XMMd|AVX|['AVX']|r32, xmm|int|__m256i,
189|_mm256_extract_epi8|seq|seq|AVX2|['AVX2']||int|__m256i,const int,
190|_mm256_extract_epi16|seq|seq|AVX2|['AVX2']||int|__m256i,const int,
191|_mm256_abs_epi8|VPABSB|VPABSB_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm|__m256i|__m256i,
192|_mm256_abs_epi16|VPABSW|VPABSW_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm|__m256i|__m256i,
193|_mm256_abs_epi32|VPABSD|VPABSD_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm|__m256i|__m256i,
194|_mm256_add_epi8|VPADDB|VPADDB_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
195|_mm256_add_epi16|VPADDW|VPADDW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
